,Name,Genre,Year,Imdb Rating,Director,Votes,Gross,malesRating,malesCount,femalesRating,femalesCount
134,Drive,Action,2011,7.8,Nicolas Winding Refn,622064,35.06,7.8,403399,7.5,75076
135,Avatar,Action,2009,7.8,James Cameron,1208258,760.51,7.9,740191,7.8,169607
136,Apocalypto,Action,2006,7.8,Mel Gibson,309212,50.87,7.8,219061,7.9,30185
137,Hot Fuzz,Action,2007,7.8,Edgar Wright,498110,23.64,7.8,327237,7.9,52499
138,Serenity,Action,2005,7.8,Joss Whedon,294445,25.51,7.7,202714,8.1,35696
139,The Last Samurai,Action,2003,7.8,Edward Zwick,433042,111.11,7.8,291086,7.6,38342
140,Cowboy Bebop: Tengoku no tobira,Action,2001,7.8,Shin'ichirô Watanabe,48247,1.0,7.8,32064,7.9,3666
141,Gongdong gyeongbi guyeok JSA,Action,2000,7.8,Park Chan-wook,29851,76.86,7.7,21130,7.9,2002
142,Jûbê ninpûchô,Action,1993,7.8,Yoshiaki Kawajiri,37248,76.86,7.8,26753,7.5,2002
143,The Fugitive,Action,1993,7.8,Andrew Davis,290384,183.88,7.8,189971,7.7,25604
144,Batman: Mask of the Phantasm,Action,1993,7.8,Kevin Altieri,50234,5.62,7.7,34481,7.6,2135
145,Dip huet seung hung,Action,1989,7.8,John Woo,48216,76.86,7.7,34830,7.4,2246
146,Predator,Action,1987,7.8,John McTiernan,402492,59.74,7.9,282640,7.3,21244
147,Ghostbusters,Action,1984,7.8,Ivan Reitman,406742,238.63,7.8,248086,7.6,47083
148,Raazi,Action,2018,7.7,Meghna Gulzar,30218,76.86,7.7,15579,8.0,2009
149,Deadpool 2,Action,2018,7.7,David Leitch,559052,324.59,7.6,297969,7.8,54285
150,Mission: Impossible - Fallout,Action,2018,7.7,Christopher McQuarrie,324438,220.16,7.7,196104,7.5,23472
151,Udta Punjab,Action,2016,7.7,Abhishek Chaubey,30221,76.86,7.7,17213,7.7,1508
152,Kubo and the Two Strings,Action,2016,7.7,Travis Knight,127690,48.02,7.7,75163,7.9,16175
153,Kingsman: The Secret Service,Action,2014,7.7,Matthew Vaughn,655365,128.26,7.6,372396,7.8,84452
154,Ajeossi,Action,2010,7.7,Jeong-beom Lee,68881,0.01,7.7,48239,7.9,5709
155,The Lego Movie,Action,2014,7.7,Phil Lord,348691,257.76,7.7,211242,7.6,43418
156,Gravity,Action,2013,7.7,Alfonso Cuarón,814306,274.09,7.8,505520,7.5,104109
157,Star Trek Into Darkness,Action,2013,7.7,J.J. Abrams,480482,228.78,7.6,320905,8.0,59358
158,X: First Class,Action,2011,7.7,Matthew Vaughn,683135,146.41,7.7,433273,7.9,90200
159,3:10 to Yuma,Action,2007,7.7,James Mangold,307610,53.61,7.7,222882,7.7,23572
160,Kung fu,Action,2004,7.7,Stephen Chow,137716,17.11,7.7,97051,7.8,10150
161,The Bourne Supremacy,Action,2004,7.7,Paul Greengrass,458724,176.24,7.7,313031,7.6,40902
162,Man on Fire,Action,2004,7.7,Tony Scott,358052,77.91,7.7,247369,7.8,33525
163,Black Hawk Down,Action,2001,7.7,Ridley Scott,390752,108.64,7.7,271153,7.5,26578
164,The Count of Monte Cristo,Action,2002,7.7,Kevin Reynolds,137068,54.23,7.7,86631,7.9,21044
165,Minority Report,Action,2002,7.7,Steven Spielberg,542610,132.07,7.7,358359,7.6,53799
166,The Boondock Saints,Action,1999,7.7,Troy Duffy,237954,0.03,7.7,169443,8.0,24205
167,Training Day,Action,2001,7.7,Antoine Fuqua,427330,76.63,7.7,296651,7.4,28100
168,Lola rennt,Action,1998,7.7,Tom Tykwer,197666,7.27,7.6,126324,7.8,28584
169,The Last of the Mohicans,Action,1992,7.7,Michael Mann,166867,75.51,7.7,108519,7.8,17668
170,Lat sau san taam,Action,1992,7.7,John Woo,50218,76.86,7.7,37052,7.3,1888
171,Star Trek II: The Wrath of Khan,Action,1982,7.7,Nicholas Meyer,120226,78.91,7.7,81526,7.6,8559
172,First Blood,Action,1982,7.7,Ted Kotcheff,247575,47.21,7.7,178543,7.2,9789
173,Badlands,Action,1973,7.7,Terrence Malick,72351,76.86,7.7,49428,7.6,6320
174,The French Connection,Action,1971,7.7,William Friedkin,121337,15.63,7.7,85043,7.3,6506
175,Dirty Harry,Action,1971,7.7,Don Siegel,154699,35.9,7.7,111517,7.4,8485
176,The Dirty Dozen,Action,1967,7.7,Robert Aldrich,72447,45.3,7.7,51949,7.8,3927
177,Bonnie and Clyde,Action,1967,7.7,Arthur Penn,111801,76.86,7.8,70839,7.7,14839
178,Goldfinger,Action,1964,7.7,Guy Hamilton,188264,51.08,7.7,130075,7.3,11850
179,The Longest Day,Action,1962,7.7,Ken Annakin,55601,39.1,7.7,40442,7.7,3009
180,The Magnificent Seven,Action,1960,7.7,John Sturges,94187,4.91,7.7,65688,7.8,6319
181,Key Largo,Action,1948,7.7,John Huston,40539,76.86,7.7,26252,7.8,4629
182,Scarface,Action,1932,7.7,Howard Hawks,27779,76.86,7.7,19219,7.6,2512
183,Pushpa: The Rise - Part 1,Action,2021,7.6,Sukumar,64032,76.86,7.3,14695,6.6,565
184,Ölümlü Dünya,Action,2018,7.6,Ali Atay,26443,76.86,7.6,13439,7.8,2977
185,Ludo,Action,2020,7.6,Anurag Basu,38522,76.86,7.4,14380,7.5,1247
186,Busanhaeng,Action,2016,7.6,Sang-ho Yeon,211173,2.13,7.5,114253,7.8,23094
187,Hotel Mumbai,Action,2018,7.6,Anthony Maras,62364,9.65,7.5,35429,7.8,7494
188,Guardians of the Galaxy Vol. 2,Action,2017,7.6,James Gunn,656490,389.81,7.5,343899,7.8,68728
189,Baby Driver,Action,2017,7.6,Edgar Wright,516852,107.83,7.5,281833,7.5,52583
190,Only the Brave,Action,2017,7.6,Joseph Kosinski,67792,18.34,7.5,42362,7.8,6662
191,Incredibles 2,Action,2018,7.6,Brad Bird,287998,608.58,7.5,146343,7.8,34252
192,Sicario,Action,2015,7.6,Denis Villeneuve,419519,46.89,7.7,267245,7.3,31977
193,Creed,Action,2015,7.6,Ryan Coogler,268711,109.77,7.6,172545,7.5,18273
194,Hell or High Water,Action,2016,7.6,David Mackenzie,226742,26.86,7.6,146697,7.4,16589
195,Dawn of the Planet of the Apes,Action,2014,7.6,Matt Reeves,435788,208.55,7.6,292347,7.5,37042
196,El cuerpo,Action,2012,7.6,Oriol Paulo,64991,76.86,7.5,37138,7.7,9872
197,Serbuan maut,Action,2011,7.6,Gareth Evans,202711,4.11,7.6,153118,7.4,8695
198,End of Watch,Action,2012,7.6,David Ayer,245064,41.0,7.6,173077,7.6,20468
199,Rise of the Planet of the Apes,Action,2011,7.6,Rupert Wyatt,521997,176.76,7.6,361209,7.5,53234
200,Kick-Ass,Action,2010,7.6,Matthew Vaughn,555214,48.07,7.7,377276,7.4,63958
201,Celda 211,Action,2009,7.6,Daniel Monzón,67313,76.86,7.6,48937,7.8,6712
202,Zombieland,Action,2009,7.6,Ruben Fleischer,565102,75.59,7.6,359091,7.6,67034
203,Sherlock Holmes,Action,2009,7.6,Guy Ritchie,623805,209.03,7.5,394532,7.7,90890
204,United 93,Action,2006,7.6,Paul Greengrass,105925,31.57,7.6,75603,7.5,9590
205,Huo Yuan Jia,Action,2006,7.6,Ronny Yu,75780,24.63,7.6,58140,7.5,4261
206,Kung Fu Panda,Action,2008,7.6,Mark Osborne,458906,215.43,7.6,268530,7.5,65180
207,Harry Potter and the Half-Blood Prince,Action,2009,7.6,David Yates,531429,301.96,7.4,281939,8.0,96587
208,300,Action,2006,7.6,Zack Snyder,806483,210.61,7.7,533831,7.5,75643
209,Watchmen,Action,2009,7.6,Zack Snyder,543709,107.51,7.7,374696,7.2,46705
210,Batoru rowaiaru,Action,2000,7.6,Kinji Fukasaku,181336,76.86,7.6,124513,7.6,19133
211,Vampire Hunter D: Bloodlust,Action,2000,7.6,Jack Fletcher,31788,0.15,7.6,21771,7.8,3369
212,Enemy at the Gates,Action,2001,7.6,Jean-Jacques Annaud,259432,51.4,7.6,182567,7.5,17639
213,Star Wars: Episode III - Revenge of the Sith,Action,2005,7.6,George Lucas,772140,380.26,7.6,476482,7.5,69893
214,The Fifth Element,Action,1997,7.6,Luc Besson,466600,63.54,7.6,293561,7.9,56719
215,Star Trek: First Contact,Action,1996,7.6,Jonathan Frakes,124699,92.0,7.5,82258,7.6,9208
216,Die Hard: With a Vengeance,Action,1995,7.6,John McTiernan,383545,100.01,7.6,269328,7.5,27592
217,Falling Down,Action,1993,7.6,Joel Schumacher,187404,40.9,7.6,133214,7.4,12264
218,The Hunt for Red October,Action,1990,7.6,John McTiernan,196500,122.01,7.5,133986,7.5,12861
219,RoboCop,Action,1987,7.6,Paul Verhoeven,254017,53.42,7.6,179917,7.1,13913
220,Lethal Weapon,Action,1987,7.6,Richard Donner,255313,65.21,7.6,178036,7.4,19472
221,Mad Max 2,Action,1981,7.6,George Miller,178457,12.47,7.6,128347,7.2,9352
222,Rupan sansei: Kariosutoro no shiro,Action,1979,7.6,Hayao Miyazaki,30568,76.86,7.6,19422,7.5,2910
223,Escape from Alcatraz,Action,1979,7.6,Don Siegel,132028,43.0,7.6,93511,7.5,8202
224,The Taking of Pelham One Two Three,Action,1974,7.6,Joseph Sargent,30419,2.49,7.6,21857,7.6,1680
225,Enter the Dragon,Action,1973,7.6,Robert Clouse,103644,25.0,7.6,76703,7.4,4613
226,Where Eagles Dare,Action,1968,7.6,Brian G. Hutton,57746,76.86,7.6,42079,7.4,2892
227,Samrat Prithviraj,Action,2022,7.5,Chandra Prakash Dwivedi,47383,76.86,3.7,2582,3.9,110
228,Tanhaji: The Unsung Warrior,Action,2020,7.5,Om Raut,29261,76.86,7.2,12321,6.5,558
229,Upgrade,Action,2018,7.5,Leigh Whannell,181889,11.98,7.5,115391,7.4,12835
230,Mersal,Action,2017,7.5,Atlee Kumar,33987,76.86,7.1,16003,7.4,765
231,Fury,Action,2014,7.5,David Ayer,476050,85.82,7.5,302691,7.5,37701
232,The Hunger Games: Catching Fire,Action,2013,7.5,Francis Lawrence,653966,424.67,7.3,350815,8.1,129593
233,Delhi Belly,Action,2011,7.5,Abhinay Deo,29889,1.53,7.5,21674,7.1,1420
234,Waar,Action,2013,7.5,Bilal Lashari,29718,76.86,7.4,21678,7.8,1670
235,Hodejegerne,Action,2011,7.5,Morten Tyldum,101730,1.2,7.5,74721,7.5,11305
236,Jûsan-nin no shikaku,Action,2010,7.5,Takashi Miike,65263,0.8,7.5,52053,7.3,3059
237,Yip Man 2,Action,2010,7.5,Wilson Yip,104358,0.21,7.5,77315,7.6,5127
238,L'instinct de mort,Action,2008,7.5,Jean-François Richet,33654,0.55,7.5,26052,7.4,2321
239,Doctor Strange,Action,2016,7.5,Scott Derrickson,715046,232.64,7.4,364131,7.7,79110
240,Retfærdighedens ryttere,Action,2020,7.5,Anders Thomas Jensen,46902,76.86,7.5,29125,7.7,3372
241,Lone Survivor,Action,2013,7.5,Peter Berg,283831,125.1,7.4,194917,7.7,20309
242,Source Code,Action,2011,7.5,Duncan Jones,513339,54.71,7.5,348474,7.4,58563
243,Grindhouse,Action,2007,7.5,Robert Rodriguez,183999,25.04,7.5,135496,7.7,17291
244,Dalkomhan insaeng,Action,2005,7.5,Jee-woon Kim,40001,76.86,7.5,28582,7.4,2822
245,Jodhaa Akbar,Action,2008,7.5,Ashutosh Gowariker,32381,3.44,7.4,19071,7.9,4021
246,Scott Pilgrim vs. the World,Action,2010,7.5,Edgar Wright,417999,31.49,7.5,258143,7.4,56040
247,Munich,Action,2005,7.5,Steven Spielberg,225178,47.4,7.6,162903,7.3,18486
248,Shi mian mai fu,Action,2004,7.5,Yimou Zhang,111747,11.05,7.5,72770,7.8,17046
249,Harry Potter and the Order of the Phoenix,Action,2007,7.5,David Yates,567504,292.0,7.3,299705,8.0,106085
